ID#,Activity Name,Pillar,Responsibility,Activity Type,Duration,Descriptions,Outcomes,End State,Predecessor(s),Successor(s),Related NIST Controls,Azure Commercial Remediation,Azure Government Remediation
6.4.2,"AI Driven by Analytics 
decides A&O modifications","Automation and 
Orchestration",,Advanced Level ZT,42.0,"DoD Components, utilizing existing Machine Learning (ML) functions, 
implement and use AI technology, such as neural networks, to drive 
automation and orchestration decisions. Decision making is moved to AI 
as much as possible, freeing up human staff for other efforts. Utilizing 
historical patterns, AI will make anticipatory changes in the environment 
to better reduce risk.",1. AI is able to make changes to automated workflow activities.,,,,"SI-4, RA-5",Big-data analytics in Sentinel/Kusto; TI integration.,Same in Gov.
6.5.1,"Response Automation 
Analysis","Automation and 
Orchestration",Component,Target Level ZT,9.0,"DoD Components identify and enumerate all response activities that are 
executed both manually and in an automated fashion. Response 
activities are organized into automated and manual categories.","1. Automatable response activities are identified.
2. Response activities are enumerated.","Components optimize response processes with 
automation, improving the response time for true 
positives and supporting a better awareness and 
understanding of security incidents.",,,"IR-4, SI-4",Logic Apps/Automation for enrichment/response.,Same in Gov.
6.5.2,Implement SOAR Tools,"Automation and 
Orchestration","Enterprise and 
Component",Target Level ZT,14.9,"DoD Enterprise, working with Components, develops a standard set of 
requirements for Security Orchestration, Automation, and Response 
(SOAR) tooling to enable ZT Target Level functionallity. DoD 
Components use approved requirements to procure and implement a 
SOAR solutions. Iinfrastructure integrations for future SOAR 
functionality is completed.","1. Enterprise develops requirements for SOAR tools.
2. Components procure SOAR tools.
3. Components develop Implementation Plan (e.g., Integration 
Points, Incident Response, Architecture, Interoperability, Scalability, 
etc.) for SOAR.
4. Complete full implementation of SOAR.","Components conduct appropriate planning to ensure 
effective implementation of a SOAR tool with relevant 
connections and interoperability.","Standardized API Calls & 
Schemas Pt1; Workflow 
Enrichment Pt1",,"IR-4, AU-6",Sentinel SOAR playbooks; isolate/block/escalate.,Same in Gov.
6.5.3,Implement Playbooks,"Automation and 
Orchestration",,Advanced Level ZT,14.0,"DoD Components review all existing playbooks to identify for future 
automation. Existing manual and automated processes missing 
playbooks have playbooks developed. Playbooks are prioritized for 
automation to be integrated with the ""Automated Workflows"" activities 
covering critical processes. Manual processes without playbooks are 
authorized using a risk-based methodical approach.","1. Automate playbooks based on automated workflows capability. 
2. Manual Playbooks are developed and implemented.",,,,"IR-4, AU-6",Sentinel SOAR playbooks; isolate/block/escalate.,Same in Gov.
6.6.1,Tool Compliance Analysis,"Automation and 
Orchestration",Component,Target Level ZT,7.3,"Automation and Orchestration tooling and solutions are analyzed for 
compliance and capabilities based on the DoD Enterprise API machine-
readable patterns and protocols.","1. Components API status is determined to be compliant or non-
compliant to Enterprise API standards.","Ensure tools includes standardized API security with the 
proper protocols and capabilities to monitor, control 
access, and interoperate with other pillars.",,,,,
6.6.2,"Standardized API Calls & 
Schemas Pt1","Automation and 
Orchestration","Enterprise and 
Component",Target Level ZT,13.6,"The DoD Enterprise works with components to establish an API standard 
(or equivalent automated interchange mechanism), which at least 
outlines the approved patterns and protocols. DoD Components identify 
existing APIs and update to the standard.","1. API Standard (or equivalent automated interchange mechanism) 
is established with Component commitment.
2. Automated pattern and protocol services are implemented.","Existing APIs are assessed against automated pattern 
and protocol services.",,"Implement SDN Programable 
Infrastructure;
 Implement SOAR Tools; 
Standardized API Calls & 
Schemas Pt2",,,
6.6.3,"Standardized API Calls & 
Schemas Pt2","Automation and 
Orchestration",Component,Target Level ZT,14.2,"DoD Components will ensure that all ZT applications/services (i.e., PEP, 
PDP, PIP) adopt the API standard. Information Systems required to 
follow ZT Target or Advanced Levels prioritize integration with the API 
standard to simplify automation.","1. Components implement API Standard for all ZT 
Applications/Services (i.e., PEP, PDP, PIP).","For each ZT service edge, Components will have an 
automated pattern and protocol service.","Standardized API Calls & 
Schemas Pt1",,,,
6.7.1,Workflow Enrichment Pt1,"Automation and 
Orchestration","Enterprise and 
Component",Target Level ZT,7.3,"DoD Enterprise works with Components to establish cybersecurity 
incident response guidance using industry best practices, such as NIST 
and a list of approved threat data sources as specified in ""Cyber Threat 
Intelligence Program Pt 1"". DoD Components enable workflows for 
security events using internal context, past threat events, and other 
threat intelligence. Approved external sources of enrichment are 
identified for future integration. These workflows are used to determine 
incident response procedures.","1. Threat events are identified utilizing DoD Enterprise guidance 
and best practice.
2. Components establish workflows for threat events and include 
enrichment from approved sources and business/mission context.","Component workflows provide security teams with the 
intelligence needed to better detect, investigate, and 
respond to incidents more effectively.",,"Implement SOAR Tools; 
Workflow Enrichment Pt2","IR-4, SI-4",Logic Apps/Automation for enrichment/response.,Same in Gov.
6.7.2,Workflow Enrichment Pt2,"Automation and 
Orchestration",Component,Target Level ZT,9.1,"DoD Components identify and establish extended workflows for 
additional incident response types in alignment with the activity ""Threat 
Alerting Pt 2"". Initial enrichment data sources are used for existing 
workflows. Additional enrichment sources (e.g., UAM, UEBA, profiles, 
and baselines) are identified for future integrations.","1. Workflows for advanced threat events are developed by 
Components.
2. Advanced threat events are identified.","Component workflows provide security teams with the 
intelligence needed to better detect, investigate, and 
respond to incidents more effectively.",Workflow Enrichment Pt1,Workflow Enrichment Pt3,"IR-4, SI-4",Logic Apps/Automation for enrichment/response.,Same in Gov.
6.7.3,Workflow Enrichment Pt3,"Automation and 
Orchestration",,Advanced Level ZT,12.4,"DoD Components use enrichment data sources on basic and extended 
threat response workflows.","1. Enrichment data has been identified. 
2. Enrichment data is integrated into workflows.",,Workflow Enrichment Pt2,Automated Workflow,"IR-4, SI-4",Logic Apps/Automation for enrichment/response.,Same in Gov.
6.7.4,Automated Workflow,"Automation and 
Orchestration",,Advanced Level ZT,14.4,"DoD Components focus on automating Security Orchestration, 
Automation, and Response (SOAR) functions and playbooks. Manual 
processes within security operations are identified and fully automated 
as possible. Remaining manual processes are decommissioned when 
possible or marked for exception using a risk-based approach.","1. Workflow processes are fully automated. 
2. Manual processes have been identified. 
3. Remaining processes are marked as exceptions and documented.",,"Workflow Enrichment Pt3; 
Implement AI automation 
tools; Enterprise Integration & 
Workflow Provisioning Pt2","Continuous Authorization to 
Operate (cATO) Pt2","IR-4, SI-4",Logic Apps/Automation for enrichment/response.,Same in Gov.
7.1.1,Scale Considerations,Visibility and Analytics,Component,Target Level ZT,11.6,"DoD Components conduct analysis to determine current and future 
scaling needs for monitoring, detection, and response. This requires a 
prioritization plan aligned with Component business/mission 
considerations and associated risk alignment. Scaling is analyzed 
following common industry best practice and aligns with  ZT Pillar 
requirements. The team works with existing Business Continuity 
Planning (BCP) and Disaster Recovery Planning (DRP) groups to 
determine distributed environment needs in emergencies and 
Component growth.","1. Evaluate opportunities for scaling (e.g., infrastructure sizing, 
bandwidth capacity, distributed environments) across the different 
pillars as it applies to visibility and analytics outcomes.
2. Create or utilize existing governance structure to operationalize 
the strategy.","Analyze scaling needs for monitoring, detection, and 
response, aligning with business considerations, risk, 
industry best practices, and ZT Pillar requirements, 
while collaborating with BCP and DRP groups for 
distributed environment needs during emergencies and 
growth.",,,,,
7.1.2,Log Parsing,Visibility and Analytics,"Enterprise and 
Component",Target Level ZT,6.3,"DoD Components identify and prioritize log and flow sources (e.g., 
firewalls, Endpoint Detection & Response, Active Directory, switches, 
routers, etc.) and develop a plan for collection of high-priority logs first, 
then low-priority. An open industry-standard log format is agreed upon 
at the DoD Enterprise level with the Components, and implemented in 
future procurement requirements. Existing solutions and technologies 
are migrated to this format on a continual basis.","1. Enterprise standardized log formats.
2. Components implement rules developed for each log format.","Components filter and forward all applicable log events 
to the SIEM.",,"Implement Analytics Tools; 
Asset ID & Alert Correlation",,,
7.1.3,Log Analysis,Visibility and Analytics,"Enterprise and 
Component",Target Level ZT,10.3,"Enterprise develops common user and device activities. Components 
identify and prioritize activities based on risk. Events/flows deemed the 
most simplistic and risky have analytics created using different data 
sources, such as logs. Trends and patterns are developed over longer 
periods of time.","1. Identify activities to analyze.
2. Determine risk level per events/flows.","Components utilize logs to develop risk level for each 
user and device.",,"Establish User Baseline 
Behavior
User/Device Baselines",,,
7.2.1,Threat Alerting Pt1,Visibility and Analytics,Component,Target Level ZT,7.5,"DoD Components utilize existing Security Information and Event 
Management (SIEM) solution to develop rules and alerts for common 
threat events (e.g., malware, phishing, etc.) Alerts and/or rule triggers 
are fed into the parallel “Asset ID & Alert Correlation” activity to begin 
automation of responses.","1. Rules developed for Component-derived threat correlation.
2. Rules developed for asset ID-based responses.","Components augment SIEM with threat data developed 
from incident response analysis.",,"Threat Alerting Pt2; Implement 
Extended Detection & 
Response (XDR) Tools and 
Integrate with C2C Pt1",,,
7.2.2,Threat Alerting Pt2,Visibility and Analytics,Component,Target Level ZT,16.5,"DoD Components expand threat alerting in the Security Information and 
Event Management (SIEM) solution to include Cyber Threat Intelligence 
(CTI) data feeds. Deviation and anomaly rules are developed in the SIEM 
to detect advanced threats.","1. Rules developed for advanced threat correlation (e.g., 
behavioral, baseline deviation).","Components augment SIEM with threat data from CTI 
feeds.","Threat Alerting Pt1; Cyber 
Threat Intelligence Program 
Pt1",Threat Alerting Pt3,,,
7.2.3,Threat Alerting Pt3,Visibility and Analytics,,Advanced Level ZT,12.9,"Threat alerting is expanded to include advanced data sources, such as 
Extended Detection & Response (XDR), User & Entity Behavior Analytics 
(UEBA), and User Activity Monitoring (UAM). These advanced data 
sources are used to develop improved anomalous and pattern activity 
detections.","1. Identify triggering anomalous events. 
2. Implement triggering policy.",,"Threat Alerting Pt2; 
Implement Extended 
Detection & Response (XDR) 
Tools and Integrate with C2C 
Pt2","Continuous Authorization to 
Operate (cATO) Pt2",,,
7.2.4,Asset ID & Alert Correlation,Visibility and Analytics,Component,Target Level ZT,10.2,"All assets in SIEM are identified and correlated to alerts in order to 
provide security teams with accurate and detailed information. This 
information contributes to the incident response speed. Asset ID's also 
allow better visibility while preforming vulnerability assessments.","1. Identify and provide as much detail as needed for identification 
of all assets in SIEM, including correlation to alerts in support of 
""Threat Alerting Pt1"".","Security is able to quickly identify assets in relation to 
threat events in a way that betters supports incident 
response.",Log Parsing,,,,
7.2.5,User/Device Baselines,Visibility and Analytics,Component,Target Level ZT,13.0,"DoD Components develop a subject/attribute baseline approach based 
on typical pattern and behavior in activity ""Establish User Baseline 
Behavior"". This approach will serve as a benchmark for security when 
identifying and responding to abnormal or malicious activity.",1. Components identify a subject/attribute baseline approach.,"Components can utilize baseline approach to build 
profiles in activity ""Baseline and Profiling Pt 1"".","Implement User & Entity 
Behavior Activity (UEBA) and 
User Activity Monitoring 
(UAM) Tooling;
Log Analysis;
Establish User Baseline 
Behavior Pattern","User Activity Monitoring Pt1;
Entity Activity Monitoring Pt1",,,
7.3.1,Implement Analytics Tools,Visibility and Analytics,"Enterprise and 
Component",Target Level ZT,12.1,"The DOD Enterprise provides minimum requirements for analytics tool 
capabilities to analyze data across all ZT pillars. Components procure and 
implement an analytics tool in order to provide actionable insights and 
intelligence.","1. Enterprise develops requirements for analytic environment.
2. Components procure and implement analytic tools.","Analytics tools provide intelligence and guidance to 
security teams in order to make improvements on 
threat monitoring and response.",Log Parsing,,"SI-4, RA-5",Big-data analytics in Sentinel/Kusto; TI integration.,Same in Gov.
7.3.2,"Establish User Baseline 
Behavior",Visibility and Analytics,Component,Target Level ZT,13.8,"Utilizing the analytics tools implemented, subject behavior patterns are 
analyzed to identify patterns and deviations from normality. Techniques 
in analytics involve machine learning and UEBA.","1. Establish subject behavior patterns in order to differentiate 
normality/abnormality.
 2. Identify opportunities for ML usage in analytics.","Patterns established will provide Components with 
decision making for user/device  baselines.","Implement User & Entity 
Behavior Activity (UEBA) 
and User Activity Monitoring 
(UAM) Tooling; Log Analysis","User/Device Baselines;
Baseline & Risk Profiling Pt1",,,
7.4.1,Baseline & Profiling Pt1,Visibility and Analytics,Component,Target Level ZT,12.3,"Utilizing the baselines developed in the ""User/Device Baselines"" activity, 
threat profiles are created to assess the level of risk for individual 
subjects associated to the overall Component security. Profiles should 
be integrated into  the ""Orginization Access Profile"" activity for decision 
making.","1. Identify subject/attribute threat profiles.
2. Develop analytics to detect changing threat conditions.","Components are able create risk profiles to mitigate 
compromised accounts, suspicious activity, and insider 
threats.","Implement User & Entity 
Behavior Activity (UEBA) 
and User Activity Monitoring 
(UAM) Tooling;
Log Analysis;
Establish User Behavior 
Pattern",Baseline & Profiling Pt2,,,
7.4.2,Baseline & Profiling Pt2,Visibility and Analytics,,Advanced Level ZT,22.7,"DoD Components expand baselines and profiles to include unmanaged 
and non-standard device types, including Internet of Things (IoT) and 
Operational Technology (OT), through data output monitoring. These 
devices are again profiled based on standardized attributes and use 
cases. Analytics are updated to consider the new baselines and profiles, 
accordingly enabling further detections and response. Specific risky 
users and devices are automatically prioritized for increased monitoring 
based on risk. Detection and response are integrated with cross pillar 
functionalities.","1. Add threat profiles for IoT and OT devices. 
2. Develop and extend analytics.
3. Extend threat profiles to individual users and devices.",,Baseline & Profiling Pt1,,,,
7.4.3,UEBA Baseline Support Pt 1,Visibility and Analytics,,Advanced Level ZT,6.3,"User & Entity Behavior Analytics (UEBA) within DoD Components 
expands monitoring to advanced analytics such as Machine Learning 
(ML). These results are in turn reviewed and provided back into ML 
algorithms to improve detection and response.",1. Implement ML-based analytics to detect anomalies.,,Baseline & Profiling Pt1,"AI-enabled Network Access; UEBA 
Baseline Support Pt2","SI-4, IA-10",Enable Defender XDR + Sentinel UEBA; feed risk to CA.,Same in Gov.
7.4.4,UEBA Baseline Support Pt 2,Visibility and Analytics,,Advanced Level ZT,6.3,"User & Entity Behavior Analytics (UEBA) within DoD Components 
completes it expansion by using traditional and Machine Learning (ML) 
based results to be provided to Artificial Intelligence (AI) algorithms. AI 
based detections are supervised, but ultimately, using advanced 
techniques such as neural networks, UEBA operators are not part of the 
learning process.",1. Implement ML-based analytics to detect anomalies.,,UEBA Baseline Support Pt1,,"SI-4, IA-10",Enable Defender XDR + Sentinel UEBA; feed risk to CA.,Same in Gov.
7.5.1,"Cyber Threat Intelligence 
Program Pt1",Visibility and Analytics,"Enterprise and 
Component",Target Level ZT,9.9,"The DoD Enterprise works with Components to develop a Cyber Threat 
Intelligence (CTI) program policy, standard, and process.  Components 
utilize this documentation to develop organizational CTI teams with key 
mission/task stakeholders. CTI teams gather intelligence from common 
data feeds across ZT Pillars and aggregate all intelligence to a centralized 
repository (e.g. SIEM).","1. DoD Enterprise develops a Cyber Threat Intelligence (CTI) 
program policy.
2. Component CTI team is in place with critical stakeholders.
3. Common CTI feeds are being utilized by SIEM for monitoring.
4. Integration points exist with device and network PEP/PDP (e.g., 
NGAV, NGFW, NG-IPS) are built at appropriate integration points 
across each pillar.","Component CTI teams are established in accordance 
with Enterprise policy and have integrated CTI data 
feeds in their SEIM(s).",,"Cyber Threat Intelligence 
Program Pt2;
Threat Alerting Pt 2","SI-4, IR-4",Ingest TI feeds into Sentinel; enrich alerts.,Same in Gov.
7.5.2,"Cyber Threat Intelligence 
Program Pt2",Visibility and Analytics,Component,Target Level ZT,19.5,"DoD Components expand their Cyber Threat Intelligence (CTI) teams to 
include new stakeholders as appropriate. Existing and authenticated, 
private and controlled threat intelligence is analyzed, and appropriate 
actions and controls are enforced across ZT Pillars. CTI Program adapts 
strategy over time with expansion of threat intelligence developed in 
solutions and program maturity.","1. Component Cyber Threat Intelligence team is in place with 
extended stakeholders as appropriate.
2. Integration is in place for extended enforcement points across ZT 
Pillars (e.g., UEBA,UAM).","Component CTI teams utilize threat intelligence data to 
support control enforcement to a greater extent 
throughout the organization via tooling.","Cyber Threat Intelligence 
Program Pt1",,"SI-4, IR-4",Ingest TI feeds into Sentinel; enrich alerts.,Same in Gov.
